日期,预测确诊,预测在治,预测新增,预测死亡,预测治愈,实际确诊,实际在治,实际新增,实际死亡,实际治愈,国家,编号
4 / 2,12386,12046,1485,198,141,,,,,,Portugal,1282
4 / 3,13863,13460,1477,234,168,,,,,,Portugal,1283
4 / 4,15291,14818,1427,275,197,,,,,,Portugal,1284
4 / 5,16634,16084,1343,320,229,,,,,,Portugal,1285
4 / 6,17867,17234,1232,368,263,,,,,,Portugal,1286
4 / 7,18973,18253,1106,419,300,,,,,,Portugal,1287
4 / 8,19946,19134,973,473,339,,,,,,Portugal,1288
4 / 9,20788,19879,842,529,379,,,,,,Portugal,1289
4 / 10,21506,20497,717,587,421,,,,,,Portugal,1290
4 / 11,22111,20999,604,647,464,,,,,,Portugal,1291
4 / 12,22616,21399,504,708,508,,,,,,Portugal,1292
4 / 13,23033,21709,417,771,552,,,,,,Portugal,1293
4 / 14,23376,21944,343,834,597,,,,,,Portugal,1294
4 / 15,23657,22116,280,897,643,,,,,,Portugal,1295
4 / 16,23885,22235,228,961,689,,,,,,Portugal,1296
4 / 17,24071,22310,185,1025,735,,,,,,Portugal,1297
4 / 18,24221,22350,150,1090,781,,,,,,Portugal,1298
4 / 19,24343,22361,121,1154,827,,,,,,Portugal,1299
4 / 20,24441,22348,98,1219,873,,,,,,Portugal,1300
4 / 21,24521,22317,79,1283,919,,,,,,Portugal,1301
4 / 22,24585,22271,64,1347,965,,,,,,Portugal,1302
4 / 23,24637,22213,51,1411,1011,,,,,,Portugal,1303
4 / 24,24678,22145,41,1475,1057,,,,,,Portugal,1304
4 / 25,24712,22069,33,1539,1103,,,,,,Portugal,1305
3 / 12,99,97,19,0,1,131,127,22,0,4,Israel,1306
3 / 13,124,122,25,0,1,161,157,30,0,4,Israel,1307
3 / 14,157,155,32,0,1,193,189,32,0,4,Israel,1308
3 / 15,200,198,42,0,2,251,247,58,0,4,Israel,1309
3 / 16,255,253,55,0,2,255,251,4,0,4,Israel,1310
3 / 17,328,325,72,0,2,337,326,82,0,11,Israel,1311
3 / 18,421,418,93,0,3,433,422,96,0,11,Israel,1312
3 / 19,542,538,120,0,3,677,666,244,0,11,Israel,1313
3 / 20,696,692,154,0,4,705,689,28,1,15,Israel,1314
3 / 21,894,888,197,0,5,883,867,178,1,15,Israel,1315
3 / 22,1143,1136,249,0,6,1071,1033,188,1,37,Israel,1316
3 / 23,1455,1446,311,0,8,1442,1400,371,1,41,Israel,1317
3 / 24,1839,1828,384,0,10,1930,1874,488,3,53,Israel,1318
3 / 25,2369,2306,529,5,58,2369,2306,439,5,58,Israel,1319
3 / 26,2926,2860,557,6,59,2693,2617,324,8,68,Israel,1320
3 / 27,3577,3506,650,7,63,,,,,,Israel,1321
3 / 28,4318,4242,740,7,67,,,,,,Israel,1322
3 / 29,5137,5055,819,8,73,,,,,,Israel,1323
3 / 30,6020,5930,882,9,80,,,,,,Israel,1324
3 / 31,6943,6844,922,10,87,,,,,,Israel,1325
4 / 1,7883,7775,940,11,96,,,,,,Israel,1326
4 / 2,8819,8700,936,12,106,,,,,,Israel,1327
4 / 3,9733,9601,913,13,117,,,,,,Israel,1328
4 / 4,10610,10465,877,15,129,,,,,,Israel,1329
4 / 5,11442,11282,832,16,142,,,,,,Israel,1330
4 / 6,12225,12050,783,18,156,,,,,,Israel,1331
4 / 7,12959,12767,733,20,171,,,,,,Israel,1332
4 / 8,13643,13433,684,22,187,,,,,,Israel,1333
4 / 9,14279,14051,636,24,204,,,,,,Israel,1334
4 / 10,14872,14624,592,26,221,,,,,,Israel,1335
4 / 11,15422,15154,550,28,239,,,,,,Israel,1336
4 / 12,15933,15644,511,30,258,,,,,,Israel,1337
4 / 13,16407,16097,474,32,277,,,,,,Israel,1338
4 / 14,16848,16516,440,34,296,,,,,,Israel,1339
4 / 15,17257,16903,409,37,317,,,,,,Israel,1340
4 / 16,17638,17260,380,39,337,,,,,,Israel,1341
4 / 17,17991,17590,353,42,358,,,,,,Israel,1342
4 / 18,18318,17894,327,44,380,,,,,,Israel,1343
4 / 19,18623,18174,304,47,401,,,,,,Israel,1344
4 / 20,18906,18432,282,49,423,,,,,,Israel,1345
4 / 21,19168,18669,262,52,446,,,,,,Israel,1346
4 / 22,19412,18888,243,55,468,,,,,,Israel,1347
4 / 23,19638,19089,226,57,491,,,,,,Israel,1348
4 / 24,19849,19273,210,60,514,,,,,,Israel,1349
4 / 25,20044,19442,195,63,538,,,,,,Israel,1350
3 / 12,136,133,19,0,2,59,58,0,0,1,Finland,1351
3 / 13,157,155,21,0,2,155,154,96,0,1,Finland,1352
3 / 14,183,179,25,0,3,225,224,70,0,1,Finland,1353
3 / 15,212,208,29,0,3,244,234,19,0,10,Finland,1354
3 / 16,246,241,33,0,4,277,267,33,0,10,Finland,1355
3 / 17,285,280,39,0,4,321,311,44,0,10,Finland,1356
3 / 18,331,326,46,0,5,336,326,15,0,10,Finland,1357
3 / 19,385,379,53,0,6,400,390,64,0,10,Finland,1358
3 / 20,448,440,62,0,7,450,440,50,0,10,Finland,1359
3 / 21,521,512,72,0,8,523,512,73,1,10,Finland,1360
3 / 22,605,595,84,0,9,626,615,103,1,10,Finland,1361
3 / 23,694,682,88,1,10,700,689,74,1,10,Finland,1362
3 / 24,801,787,107,1,12,792,781,92,1,10,Finland,1363
3 / 25,929,916,127,3,10,880,867,88,3,10,Finland,1364
3 / 26,1077,1062,148,5,10,958,943,78,5,10,Finland,1365
3 / 27,1249,1230,171,6,12,,,,,,Finland,1366
3 / 28,1457,1435,207,7,14,,,,,,Finland,1367
3 / 29,1674,1648,217,8,17,,,,,,Finland,1368
3 / 30,1891,1861,217,10,20,,,,,,Finland,1369
3 / 31,2210,2174,319,12,24,,,,,,Finland,1370
4 / 1,2540,2497,329,14,28,,,,,,Finland,1371
4 / 2,2908,2858,368,16,33,,,,,,Finland,1372
4 / 3,3318,3260,410,19,38,,,,,,Finland,1373
4 / 4,3771,3704,452,22,44,,,,,,Finland,1374
4 / 5,4267,4189,495,25,51,,,,,,Finland,1375
4 / 6,4805,4715,538,29,59,,,,,,Finland,1376
4 / 7,5383,5280,577,34,68,,,,,,Finland,1377
4 / 8,5997,5879,613,39,78,,,,,,Finland,1378
4 / 9,6641,6507,644,44,89,,,,,,Finland,1379
4 / 10,7309,7156,667,50,101,,,,,,Finland,1380
4 / 11,7992,7819,683,57,115,,,,,,Finland,1381
4 / 12,8681,8487,689,64,129,,,,,,Finland,1382
4 / 13,9367,9149,685,72,145,,,,,,Finland,1383
4 / 14,10039,9795,671,81,162,,,,,,Finland,1384
4 / 15,10688,10417,649,90,180,,,,,,Finland,1385
4 / 16,11306,11007,618,99,199,,,,,,Finland,1386
4 / 17,11887,11558,580,109,219,,,,,,Finland,1387
4 / 18,12425,12064,538,120,240,,,,,,Finland,1388
4 / 19,12917,12523,492,131,262,,,,,,Finland,1389
4 / 20,13362,12934,444,142,285,,,,,,Finland,1390
4 / 21,13758,13295,396,154,308,,,,,,Finland,1391
4 / 22,14109,13610,350,166,332,,,,,,Finland,1392
4 / 23,14415,13880,306,178,357,,,,,,Finland,1393
4 / 24,14681,14108,265,191,382,,,,,,Finland,1394
4 / 25,14910,14299,228,203,407,,,,,,Finland,1395
3 / 12,176,175,37,0,0,94,94,3,0,0,Czech Rep.,1396
3 / 13,214,213,37,0,0,141,141,47,0,0,Czech Rep.,1397
3 / 14,255,254,41,0,0,189,189,48,0,0,Czech Rep.,1398
3 / 15,303,302,47,0,1,253,253,64,0,0,Czech Rep.,1399
3 / 16,360,358,56,0,1,298,295,45,0,3,Czech Rep.,1400
3 / 17,427,426,67,0,1,396,393,98,0,3,Czech Rep.,1401
3 / 18,508,506,80,0,2,464,461,68,0,3,Czech Rep.,1402
3 / 19,605,602,96,0,2,694,691,230,0,3,Czech Rep.,1403
3 / 20,720,717,115,0,3,833,829,139,0,4,Czech Rep.,1404
3 / 21,858,854,138,0,4,995,989,162,0,6,Czech Rep.,1405
3 / 22,1023,1018,164,0,4,1120,1113,125,1,6,Czech Rep.,1406
3 / 23,1219,1213,195,0,5,1236,1228,116,1,7,Czech Rep.,1407
3 / 24,1451,1444,232,1,5,1394,1381,158,3,10,Czech Rep.,1408
3 / 25,1654,1638,202,6,10,1654,1638,260,6,10,Czech Rep.,1409
3 / 26,2074,2056,420,8,9,1925,1906,271,9,10,Czech Rep.,1410
3 / 27,2679,2659,605,9,10,,,,,,Czech Rep.,1411
3 / 28,3489,3467,810,10,12,,,,,,Czech Rep.,1412
3 / 29,4521,4495,1031,12,14,,,,,,Czech Rep.,1413
3 / 30,5776,5744,1254,14,16,,,,,,Czech Rep.,1414
3 / 31,7233,7195,1457,17,19,,,,,,Czech Rep.,1415
4 / 1,8848,8803,1615,21,23,,,,,,Czech Rep.,1416
4 / 2,10556,10501,1708,25,28,,,,,,Czech Rep.,1417
4 / 3,12282,12216,1725,31,34,,,,,,Czech Rep.,1418
4 / 4,13953,13874,1670,37,41,,,,,,Czech Rep.,1419
4 / 5,15508,15416,1555,43,48,,,,,,Czech Rep.,1420
4 / 6,16909,16801,1400,51,56,,,,,,Czech Rep.,1421
4 / 7,18134,18010,1225,58,65,,,,,,Czech Rep.,1422
4 / 8,19181,19038,1046,67,74,,,,,,Czech Rep.,1423
4 / 9,20057,19896,876,76,84,,,,,,Czech Rep.,1424
4 / 10,20779,20599,722,85,94,,,,,,Czech Rep.,1425
4 / 11,21367,21167,587,94,105,,,,,,Czech Rep.,1426
4 / 12,21840,21620,473,104,116,,,,,,Czech Rep.,1427
4 / 13,22219,21977,378,114,127,,,,,,Czech Rep.,1428
4 / 14,22519,22256,300,124,138,,,,,,Czech Rep.,1429
4 / 15,22756,22471,236,134,149,,,,,,Czech Rep.,1430
4 / 16,22942,22636,186,144,161,,,,,,Czech Rep.,1431
4 / 17,23088,22760,146,155,172,,,,,,Czech Rep.,1432
4 / 18,23202,22853,114,165,184,,,,,,Czech Rep.,1433
4 / 19,23291,22920,89,176,195,,,,,,Czech Rep.,1434
4 / 20,23361,22967,69,186,207,,,,,,Czech Rep.,1435
4 / 21,23415,22999,54,196,218,,,,,,Czech Rep.,1436
4 / 22,23457,23019,42,207,230,,,,,,Czech Rep.,1437
4 / 23,23490,23030,32,217,242,,,,,,Czech Rep.,1438
4 / 24,23515,23033,25,228,253,,,,,,Czech Rep.,1439
4 / 25,23535,23031,19,238,265,,,,,,Czech Rep.,1440
3 / 12,,,,,,52,52,14,0,0,Brazil,1441
3 / 13,151,151,0,0,0,151,151,99,0,0,Brazil,1442
3 / 14,185,185,34,0,0,151,151,0,0,0,Brazil,1443
3 / 15,232,232,46,0,0,162,162,11,0,0,Brazil,1444
3 / 16,295,294,62,0,0,200,199,38,0,1,Brazil,1445
3 / 17,378,378,83,0,0,321,318,121,1,2,Brazil,1446
3 / 18,490,489,111,0,0,372,367,51,3,2,Brazil,1447
3 / 19,638,636,148,1,0,621,613,249,6,2,Brazil,1448
3 / 20,833,831,195,2,0,905,892,284,11,2,Brazil,1449
3 / 21,1087,1084,254,3,0,1128,1108,223,18,2,Brazil,1450
3 / 22,1414,1409,326,4,0,1593,1566,465,25,2,Brazil,1451
3 / 23,1827,1821,413,5,0,1924,1888,331,34,2,Brazil,1452
3 / 24,2247,2199,419,46,2,2247,2199,323,46,2,Brazil,1453
3 / 25,2874,2823,627,48,1,2554,2493,307,59,2,Brazil,1454
3 / 26,3615,3561,741,49,3,2985,2902,431,77,6,Brazil,1455
3 / 27,4467,4410,852,53,4,,,,,,Brazil,1456
3 / 28,5420,5358,953,57,4,,,,,,Brazil,1457
3 / 29,6459,6392,1039,62,4,,,,,,Brazil,1458
3 / 30,7564,7490,1105,68,5,,,,,,Brazil,1459
3 / 31,8715,8633,1150,76,5,,,,,,Brazil,1460
4 / 1,9890,9799,1174,84,6,,,,,,Brazil,1461
4 / 2,11071,10970,1181,93,7,,,,,,Brazil,1462
4 / 3,12242,12131,1171,103,8,,,,,,Brazil,1463
4 / 4,13393,13269,1150,115,8,,,,,,Brazil,1464
4 / 5,14512,14374,1119,127,9,,,,,,Brazil,1465
4 / 6,15593,15441,1081,140,10,,,,,,Brazil,1466
4 / 7,16632,16465,1039,154,12,,,,,,Brazil,1467
4 / 8,17626,17443,993,170,13,,,,,,Brazil,1468
4 / 9,18573,18373,947,186,14,,,,,,Brazil,1469
4 / 10,19474,19255,900,202,15,,,,,,Brazil,1470
4 / 11,20327,20090,853,220,17,,,,,,Brazil,1471
4 / 12,21135,20878,807,238,18,,,,,,Brazil,1472
4 / 13,21898,21620,762,257,20,,,,,,Brazil,1473
4 / 14,22617,22319,719,277,21,,,,,,Brazil,1474
4 / 15,23296,22975,678,297,23,,,,,,Brazil,1475
4 / 16,23935,23592,638,317,24,,,,,,Brazil,1476
4 / 17,24536,24170,601,339,26,,,,,,Brazil,1477
4 / 18,25101,24712,565,361,28,,,,,,Brazil,1478
4 / 19,25632,25219,531,383,29,,,,,,Brazil,1479
4 / 20,26131,25694,499,405,31,,,,,,Brazil,1480
4 / 21,26600,26138,468,429,33,,,,,,Brazil,1481
4 / 22,27040,26552,439,452,35,,,,,,Brazil,1482
4 / 23,27453,26940,412,476,37,,,,,,Brazil,1483
4 / 24,27840,27301,387,500,39,,,,,,Brazil,1484
4 / 25,28204,27638,363,524,40,,,,,,Brazil,1485
3 / 12,,,,,,20,18,1,0,2,Pakistan,1486
3 / 13,,,,,,28,26,8,0,2,Pakistan,1487
3 / 14,31,29,0,0,2,31,29,3,0,2,Pakistan,1488
3 / 15,185,182,154,0,2,53,51,22,0,2,Pakistan,1489
3 / 16,222,218,37,0,3,136,134,83,0,2,Pakistan,1490
3 / 17,268,262,45,0,5,236,234,100,0,2,Pakistan,1491
3 / 18,324,317,56,0,6,299,297,63,0,2,Pakistan,1492
3 / 19,394,385,69,1,7,454,439,155,2,13,Pakistan,1493
3 / 20,479,469,85,2,8,501,485,47,3,13,Pakistan,1494
3 / 21,585,571,105,2,11,730,714,229,3,13,Pakistan,1495
3 / 22,714,697,129,4,12,776,758,46,5,13,Pakistan,1496
3 / 23,873,852,158,6,14,875,856,99,6,13,Pakistan,1497
3 / 24,972,947,98,7,18,972,947,97,7,18,Pakistan,1498
3 / 25,1404,1373,432,8,22,1063,1034,91,8,21,Pakistan,1499
3 / 26,1803,1763,398,11,27,1201,1171,138,9,21,Pakistan,1500
3 / 27,2304,2254,500,15,35,,,,,,Pakistan,1501
3 / 28,2926,2862,622,19,44,,,,,,Pakistan,1502
3 / 29,3688,3607,762,24,56,,,,,,Pakistan,1503
3 / 30,4607,4504,918,30,71,,,,,,Pakistan,1504
3 / 31,5693,5563,1085,38,90,,,,,,Pakistan,1505
4 / 1,6948,6787,1255,48,113,,,,,,Pakistan,1506
4 / 2,8365,8164,1416,60,141,,,,,,Pakistan,1507
4 / 3,9922,9673,1556,74,174,,,,,,Pakistan,1508
4 / 4,11583,11279,1661,91,213,,,,,,Pakistan,1509
4 / 5,13305,12936,1722,110,258,,,,,,Pakistan,1510
4 / 6,15040,14598,1734,132,309,,,,,,Pakistan,1511
4 / 7,16738,16214,1698,157,366,,,,,,Pakistan,1512
4 / 8,18358,17744,1619,184,429,,,,,,Pakistan,1513
4 / 9,19866,19154,1508,213,498,,,,,,Pakistan,1514
4 / 10,21240,20423,1374,245,571,,,,,,Pakistan,1515
4 / 11,22468,21540,1228,278,650,,,,,,Pakistan,1516
4 / 12,23549,22503,1080,313,731,,,,,,Pakistan,1517
4 / 13,24486,23319,937,350,817,,,,,,Pakistan,1518
4 / 14,25290,23997,803,387,905,,,,,,Pakistan,1519
4 / 15,25972,24550,682,426,995,,,,,,Pakistan,1520
4 / 16,26547,24993,574,466,1087,,,,,,Pakistan,1521
4 / 17,27028,25341,481,506,1181,,,,,,Pakistan,1522
4 / 18,27429,25606,400,546,1275,,,,,,Pakistan,1523
4 / 19,27762,25802,332,587,1371,,,,,,Pakistan,1524
4 / 20,28036,25940,274,628,1467,,,,,,Pakistan,1525
4 / 21,28263,26029,226,670,1564,,,,,,Pakistan,1526
4 / 22,28450,26077,186,711,1661,,,,,,Pakistan,1527
4 / 23,28604,26092,153,753,1758,,,,,,Pakistan,1528
4 / 24,28730,26080,126,795,1855,,,,,,Pakistan,1529
4 / 25,28833,26045,103,836,1951,,,,,,Pakistan,1530
3 / 12,35,32,15,0,3,28,25,8,0,3,Russia,1531
3 / 13,50,47,15,0,3,45,42,17,0,3,Russia,1532
3 / 14,66,62,15,0,4,59,51,14,0,8,Russia,1533
3 / 15,83,78,17,0,4,63,55,4,0,8,Russia,1534
3 / 16,103,97,19,0,5,90,82,27,0,8,Russia,1535
3 / 17,127,120,23,0,6,114,106,24,0,8,Russia,1536
3 / 18,155,147,28,0,8,147,139,33,0,8,Russia,1537
3 / 19,190,180,34,0,8,199,189,52,1,9,Russia,1538
3 / 20,233,221,42,1,10,253,243,54,1,9,Russia,1539
3 / 21,286,271,52,1,13,306,293,53,1,12,Russia,1540
3 / 22,351,333,65,1,16,367,350,61,1,16,Russia,1541
3 / 23,432,410,80,1,20,438,420,71,1,17,Russia,1542
3 / 24,531,505,99,1,24,495,472,57,1,22,Russia,1543
3 / 25,658,626,126,3,29,658,626,163,3,29,Russia,1544
3 / 26,808,769,150,2,36,840,799,182,3,38,Russia,1545
3 / 27,992,944,184,3,44,,,,,,Russia,1546
3 / 28,1218,1159,225,4,54,,,,,,Russia,1547
3 / 29,1491,1420,273,5,66,,,,,,Russia,1548
3 / 30,1821,1734,329,6,81,,,,,,Russia,1549
3 / 31,2215,2108,394,7,99,,,,,,Russia,1550
4 / 1,2682,2551,466,9,121,,,,,,Russia,1551
4 / 2,3229,3069,546,11,147,,,,,,Russia,1552
4 / 3,3862,3668,633,14,179,,,,,,Russia,1553
4 / 4,4585,4350,722,17,217,,,,,,Russia,1554
4 / 5,5398,5115,812,20,262,,,,,,Russia,1555
4 / 6,6295,5956,897,24,314,,,,,,Russia,1556
4 / 7,7269,6864,973,29,375,,,,,,Russia,1557
4 / 8,8304,7825,1035,35,444,,,,,,Russia,1558
4 / 9,9382,8818,1077,41,523,,,,,,Russia,1559
4 / 10,10481,9822,1099,48,611,,,,,,Russia,1560
4 / 11,11580,10815,1098,55,708,,,,,,Russia,1561
4 / 12,12655,11774,1075,64,815,,,,,,Russia,1562
4 / 13,13687,12682,1032,73,931,,,,,,Russia,1563
4 / 14,14661,13523,974,83,1055,,,,,,Russia,1564
4 / 15,15566,14285,904,93,1187,,,,,,Russia,1565
4 / 16,16394,14964,827,104,1325,,,,,,Russia,1566
4 / 17,17142,15556,748,116,1469,,,,,,Russia,1567
4 / 18,17811,16064,668,127,1619,,,,,,Russia,1568
4 / 19,18403,16490,592,140,1773,,,,,,Russia,1569
4 / 20,18924,16840,520,152,1931,,,,,,Russia,1570
4 / 21,19378,17122,454,165,2091,,,,,,Russia,1571
4 / 22,19773,17341,394,177,2254,,,,,,Russia,1572
4 / 23,20114,17504,341,191,2419,,,,,,Russia,1573
4 / 24,20409,17619,294,204,2585,,,,,,Russia,1574
4 / 25,20661,17691,252,217,2752,,,,,,Russia,1575
3 / 12,,,,,,16,16,0,0,0,Estonia,1576
3 / 13,,,,,,79,79,63,0,0,Estonia,1577
3 / 14,115,115,0,0,0,115,115,36,0,0,Estonia,1578
3 / 15,157,157,42,0,0,171,170,56,0,1,Estonia,1579
3 / 16,193,192,35,0,0,205,204,34,0,1,Estonia,1580
3 / 17,223,222,30,0,1,225,224,20,0,1,Estonia,1581
3 / 18,250,248,26,0,1,258,257,33,0,1,Estonia,1582
3 / 19,273,271,23,0,2,267,266,9,0,1,Estonia,1583
3 / 20,294,291,21,0,2,283,282,16,0,1,Estonia,1584
3 / 21,314,311,20,0,3,306,305,23,0,1,Estonia,1585
3 / 22,334,329,19,0,4,326,324,20,0,2,Estonia,1586
3 / 23,353,348,19,0,5,352,348,26,0,4,Estonia,1587
3 / 24,372,366,19,0,6,369,362,17,0,7,Estonia,1588
3 / 25,404,395,31,1,8,404,395,35,1,8,Estonia,1589
3 / 26,424,414,20,1,8,538,529,134,1,8,Estonia,1590
3 / 27,447,437,23,1,9,,,,,,Estonia,1591
3 / 28,473,461,25,1,10,,,,,,Estonia,1592
3 / 29,500,487,27,1,11,,,,,,Estonia,1593
3 / 30,530,516,29,1,12,,,,,,Estonia,1594
3 / 31,562,546,31,1,13,,,,,,Estonia,1595
4 / 1,596,579,33,1,14,,,,,,Estonia,1596
4 / 2,632,614,36,2,16,,,,,,Estonia,1597
4 / 3,670,651,38,2,17,,,,,,Estonia,1598
4 / 4,711,690,40,2,18,,,,,,Estonia,1599
4 / 5,755,732,43,2,20,,,,,,Estonia,1600
4 / 6,800,776,45,2,21,,,,,,Estonia,1601
4 / 7,849,823,48,2,23,,,,,,Estonia,1602
4 / 8,900,872,51,3,25,,,,,,Estonia,1603
4 / 9,955,924,54,3,26,,,,,,Estonia,1604
4 / 10,1012,979,57,3,28,,,,,,Estonia,1605
4 / 11,1072,1038,60,3,30,,,,,,Estonia,1606
4 / 12,1136,1099,63,4,33,,,,,,Estonia,1607
4 / 13,1203,1164,67,4,35,,,,,,Estonia,1608
4 / 14,1274,1232,70,4,37,,,,,,Estonia,1609
4 / 15,1349,1304,74,5,40,,,,,,Estonia,1610
4 / 16,1428,1379,78,5,43,,,,,,Estonia,1611
4 / 17,1510,1458,82,5,46,,,,,,Estonia,1612
4 / 18,1597,1542,86,6,49,,,,,,Estonia,1613
4 / 19,1688,1629,91,6,52,,,,,,Estonia,1614
4 / 20,1784,1721,95,6,55,,,,,,Estonia,1615
4 / 21,1884,1817,100,7,59,,,,,,Estonia,1616
4 / 22,1989,1918,105,7,63,,,,,,Estonia,1617
4 / 23,2099,2024,109,8,67,,,,,,Estonia,1618
4 / 24,2214,2134,115,8,71,,,,,,Estonia,1619
4 / 25,2334,2249,120,9,75,,,,,,Estonia,1620
3 / 12,,,,,,89,89,32,0,0,Slovenia,1621
3 / 13,,,,,,141,141,52,0,0,Slovenia,1622
3 / 14,181,180,0,1,0,181,180,40,1,0,Slovenia,1623
3 / 15,205,204,24,1,0,219,218,38,1,0,Slovenia,1624
3 / 16,231,230,25,1,0,253,252,34,1,0,Slovenia,1625
3 / 17,258,256,27,2,0,275,274,22,1,0,Slovenia,1626
3 / 18,286,284,28,2,0,275,274,0,1,0,Slovenia,1627
3 / 19,316,313,29,3,0,286,285,11,1,0,Slovenia,1628
3 / 20,346,343,30,3,0,341,340,55,1,0,Slovenia,1629
3 / 21,378,374,31,4,0,383,382,42,1,0,Slovenia,1630
3 / 22,411,406,33,4,0,414,412,31,2,0,Slovenia,1631
3 / 23,445,440,34,5,0,442,439,28,3,0,Slovenia,1632
3 / 24,481,474,35,3,2,480,473,38,4,3,Slovenia,1633
3 / 25,528,513,46,5,10,528,513,48,5,10,Slovenia,1634
3 / 26,566,550,38,5,9,562,546,34,6,10,Slovenia,1635
3 / 27,606,589,39,6,10,,,,,,Slovenia,1636
3 / 28,647,629,41,6,11,,,,,,Slovenia,1637
3 / 29,690,671,42,7,11,,,,,,Slovenia,1638
3 / 30,734,714,44,7,12,,,,,,Slovenia,1639
3 / 31,780,758,45,8,13,,,,,,Slovenia,1640
4 / 1,827,804,47,8,14,,,,,,Slovenia,1641
4 / 2,876,852,48,9,15,,,,,,Slovenia,1642
4 / 3,927,901,50,9,16,,,,,,Slovenia,1643
4 / 4,979,952,52,10,17,,,,,,Slovenia,1644
4 / 5,1033,1004,53,10,18,,,,,,Slovenia,1645
4 / 6,1089,1058,55,11,19,,,,,,Slovenia,1646
4 / 7,1146,1113,57,12,20,,,,,,Slovenia,1647
4 / 8,1204,1170,58,13,21,,,,,,Slovenia,1648
4 / 9,1265,1228,60,13,23,,,,,,Slovenia,1649
4 / 10,1327,1288,62,14,24,,,,,,Slovenia,1650
4 / 11,1391,1350,63,15,25,,,,,,Slovenia,1651
4 / 12,1456,1413,65,16,27,,,,,,Slovenia,1652
4 / 13,1523,1477,67,17,28,,,,,,Slovenia,1653
4 / 14,1592,1543,68,18,30,,,,,,Slovenia,1654
4 / 15,1662,1611,70,19,32,,,,,,Slovenia,1655
4 / 16,1734,1680,71,20,33,,,,,,Slovenia,1656
4 / 17,1808,1750,73,21,35,,,,,,Slovenia,1657
4 / 18,1883,1822,75,22,37,,,,,,Slovenia,1658
4 / 19,1959,1896,76,23,39,,,,,,Slovenia,1659
4 / 20,2037,1970,78,25,41,,,,,,Slovenia,1660
4 / 21,2117,2046,79,26,44,,,,,,Slovenia,1661
4 / 22,2198,2124,80,27,46,,,,,,Slovenia,1662
4 / 23,2280,2202,82,29,48,,,,,,Slovenia,1663
4 / 24,2364,2282,83,30,51,,,,,,Slovenia,1664
4 / 25,2448,2363,84,32,53,,,,,,Slovenia,1665
